Object_Type,Name,Latitude,Longitude,Altitude
Parking Ticket Machine,Parking on King William Rd Dsc,-34.91466732,138.5989107
Parking Ticket Machine,Parking on Bartels Rd,-34.92500543,138.6141445
Parking Ticket Machine,Parking on Bartels Rd,-34.92500729,138.6150357
Parking Ticket Machine,Parking on Bartels Rd; 17 bays avaliable,-34.92520873,138.614993
Parking Ticket Machine,Parking on Bartels Rd; 2 bays avaliable,-34.92521907,138.6160061
Parking Ticket Machine,Parking on Bartels Rd; 4 bays avaliable,-34.92521119,138.6140537
Parking Ticket Machine,Parking on War Memorial Dr,-34.91298305,138.6041882
Parking Ticket Machine,Parking on War Memorial Dr,-34.91247599,138.6046373
Parking Ticket Machine,Parking on War Memorial Dr,-34.91132826,138.6059658
Parking Ticket Machine,Parking on War Memorial Dr,-34.91088506,138.6071353
Parking Ticket Machine,Parking on War Memorial Dr,-34.91185584,138.6053002
Parking Ticket Machine,Parking on War Memorial Dr,-34.91555611,138.600775
Parking Ticket Machine,Parking on War Memorial Dr,-34.91597817,138.601895
Parking Ticket Machine,Parking on War Memorial Dr,-34.91621517,138.6032177
Parking Ticket Machine,Parking on War Memorial Dr,-34.91592044,138.6040665
Parking Ticket Machine,Parking on War Memorial Dr,-34.91529195,138.6040012
Parking Ticket Machine,Parking on War Memorial Dr,-34.91457835,138.6035551
Parking Ticket Machine,Parking on Pennington Tce,-34.9126836,138.5958808
Parking Ticket Machine,Parking on Pennington Tce,-34.9127381,138.5954081
Parking Ticket Machine,Parking on Pennington Tce,-34.91298195,138.5965658
Parking Ticket Machine,Parking on Pennington Tce,-34.91320317,138.5976302
Parking Ticket Machine,Parking on Pennington Tce,-34.91352886,138.5991757
Parking Ticket Machine,Parking on Pennington Tce,-34.91365018,138.5997994
Parking Ticket Machine,Parking on Mackinnon Pde,-34.91018565,138.6064961
Parking Ticket Machine,Parking on Mackinnon Pde,-34.91051925,138.6058952
Parking Ticket Machine,Parking on Mackinnon Pde,-34.9098963,138.6070144
Parking Ticket Machine,Parking on Mackinnon Pde,-34.91083623,138.6053246
Parking Ticket Machine,Parking on Mackinnon Pde,-34.91138596,138.6043326
Parking Ticket Machine,Parking on Mackinnon Pde,-34.91169704,138.6037739
Parking Ticket Machine,Parking on Pennington Tce,-34.91252483,138.5945038
Parking Ticket Machine,Parking on Hutt St,-34.92845748,138.6122538
Parking Ticket Machine,Parking on Hutt St,-34.92906608,138.6123008
Parking Ticket Machine,Parking on Frome St; 4 bays avaliable,-34.9278411,138.6082034
Parking Ticket Machine,Parking on Gouger St; 16 bays avaliable,-34.93009503,138.5986287
Parking Ticket Machine,Parking on Angas St; 16 bays avaliable,-34.93001311,138.6047156
Parking Ticket Machine,Parking on Morphett St 1; 8 bays avaliable,-34.92953029,138.5940809
Parking Ticket Machine,Parking on Grote St; 18 bays avaliable,-34.9290615,138.594751
Parking Ticket Machine,Parking on Gouger St,-34.93049629,138.5943543
Parking Ticket Machine,Parking on Gouger St,-34.93046267,138.5955169
Parking Ticket Machine,Parking on Flinders St; 10 bays avaliable,-34.92723174,138.6012661
Parking Ticket Machine,Parking on Flinders St; 9 bays avaliable,-34.92712787,138.6028998
Parking Ticket Machine,Parking on Franklin St,-34.92714963,138.5982566
Parking Ticket Machine,Parking on Waymouth_St; 6 bays avaliable,-34.92574807,138.5988697
Parking Ticket Machine,Parking on Flinders St; 6 bays avaliable,-34.92664783,138.6078201
Parking Ticket Machine,Parking on Flinders St; 8 bays avaliable,-34.92675605,138.6054217
Parking Ticket Machine,Parking on Franklin St,-34.92722562,138.5969949
Parking Ticket Machine,Parking on Franklin St; 7 bays avaliable,-34.92726935,138.5959114
Parking Ticket Machine,Parking on Flinders St; 11 bays avaliable,-34.92701335,138.6051315
Parking Ticket Machine,Parking on Frome St; 6 bays avaliable,-34.92639052,138.608115
Parking Ticket Machine,Parking on Frome St,-34.92451285,138.6079471
Parking Ticket Machine,Parking on Currie St Asc; 7 bays avaliable,-34.9246798,138.5911791
Parking Ticket Machine,Parking on Sir Edwin Smith Ave,-34.9134643,138.6005004
Parking Ticket Machine,Parking on Sir Edwin Smith Ave,-34.91309677,138.6006156
Parking Ticket Machine,Parking on Hutt St,-34.92858374,138.6118733
Parking Ticket Machine,Parking on Currie St Asc; 9 bays avaliable,-34.9247584,138.5900591
Parking Ticket Machine,Parking on Carrington St; 6 bays avaliable,-34.9312773,138.6037306
Parking Ticket Machine,Parking on Carrington St; 5 bays avaliable,-34.93138453,138.6016803
Parking Ticket Machine,Parking on Carrington St; 5 bays avaliable,-34.93133641,138.6025966
Parking Ticket Machine,Parking on Carrington St,-34.93150523,138.6017681
Parking Ticket Machine,Parking on Carrington St; 4 bays avaliable,-34.93146415,138.6025473
Parking Ticket Machine,Parking on Angas St; 15 bays avaliable,-34.92988788,138.6022547
Parking Ticket Machine,Parking on Angas St; 9 bays avaliable,-34.92977634,138.6046925
Parking Ticket Machine,Parking on Wakefield St,-34.9283381,138.6092162
Parking Ticket Machine,Parking on Wakefield St; 8 bays avaliable,-34.92846393,138.6068283
Parking Ticket Machine,Parking on Frome St; 5 bays avaliable,-34.92787063,138.6084623
Parking Ticket Machine,Parking on Frome St; 7 bays avaliable,-34.92715607,138.6084075
Parking Ticket Machine,Parking on Wakefield St,-34.92799695,138.6093977
Parking Ticket Machine,Parking on Wakefield St; 5 bays avaliable,-34.92813362,138.6070795
Parking Ticket Machine,Parking on Wakefield St; 9 bays avaliable,-34.92840783,138.607865
Parking Ticket Machine,Parking on Carrington St,-34.93141353,138.6011164
Parking Ticket Machine,Parking on Frome St,-34.92939705,138.6083454
Parking Ticket Machine,Parking on Frome St,-34.92898975,138.60831
Parking Ticket Machine,Parking on Angas St; 25 bays avaliable,-34.92967024,138.6069201
Parking Ticket Machine,Parking on Gilbert St,-34.9346312,138.5959237
Parking Ticket Machine,Parking on Wakefield St; 7 bays avaliable,-34.92830721,138.6098323
Parking Ticket Machine,Parking on Flinders St; 20 bays avaliable,-34.92671144,138.6113236
Parking Ticket Machine,Parking on Flinders St; 13 bays avaliable,-34.92681018,138.6093594
Parking Ticket Machine,Parking on Flinders St; 15 bays avaliable,-34.9265354,138.6096841
Parking Ticket Machine,Parking on Flinders St,-34.92646978,138.6110568
Parking Ticket Machine,Parking on Flinders St; 13 bays avaliable,-34.92670579,138.6065786
Parking Ticket Machine,Parking on Flinders St; 14 bays avaliable,-34.92691997,138.607504
Parking Ticket Machine,Parking on Flinders St; 8 bays avaliable,-34.9267806,138.6099736
Parking Ticket Machine,Parking on Flinders St; 4 bays avaliable,-34.92686987,138.6037397
Parking Ticket Machine,Parking on Pirie St; 5 bays avaliable,-34.92525788,138.6084177
Parking Ticket Machine,Parking on Pirie St; 6 bays avaliable,-34.92516143,138.6103378
Parking Ticket Machine,Parking on Wakefield St; 9 bays avaliable,-34.92796754,138.6100181
Parking Ticket Machine,Parking on Bartels Rd; 13 bays avaliable,-34.9249802,138.6133203
Parking Ticket Machine,Parking on Hindmarsh Sq W; 13 bays avaliable,-34.92458006,138.6048974
Parking Ticket Machine,Parking on East Tce Asc; 31 bays avaliable,-34.92161808,138.6110785
Parking Ticket Machine,Parking on East Tce Asc; 29 bays avaliable,-34.92308895,138.6111404
Parking Ticket Machine,Parking on Rundle St; 5 bays avaliable,-34.92267929,138.6070925
Parking Ticket Machine,Parking on Flinders St; 5 bays avaliable,-34.92659747,138.6087702
Parking Ticket Machine,Parking on Pulteney St; 7 bays avaliable,-34.92581794,138.6059468
