Object_Type,Name,Latitude,Longitude
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a Steel Rail type,138.6056485,-34.92822146
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a Steel Rail type,138.604999,-34.92824201
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6057931,-34.92748062
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6056979,-34.92659864
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6056512,-34.92562788
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6059522,-34.92624744
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6060766,-34.9278817
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.606182,-34.92935332
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.606744,-34.92969851
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.606625,-34.92987292
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a Circular type,138.6065172,-34.93383732
Bike Rack,Bike Rack on KING WILLIAM ST_DSC (2007); it's a U Shape type,138.6002941,-34.93550634
Bike Rack,Bike Rack on KING WILLIAM ST_ASC (2009); it's a U Shape type,138.6005693,-34.93442637
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.601087,-34.92996592
Bike Rack,Bike Rack on KING WILLIAM ST ASC (1301); it's a U Shape type,138.5998561,-34.92523068
Bike Rack,Bike Rack on VICTORIA SQ ARCADE (1701); it's a U Shape type,138.5988015,-34.92939158
Bike Rack,Bike Rack on CURRIE ST ASC (1193); it's a U Shape type,138.5925253,-34.92463713
Bike Rack,Bike Rack on CURRIE ST ASC (1193); it's a U Shape type,138.5925233,-34.92460699
Bike Rack,Bike Rack on CURRIE ST ASC (1193); it's a Steel Rail type,138.5901095,-34.92496052
Bike Rack,Bike Rack on PIRIE ST (1385); it's a Steel Rail type,138.6046909,-34.92558504
Bike Rack,Bike Rack on PIRIE ST (1385); it's a U Shape type,138.6025575,-34.92556186
Bike Rack,Bike Rack on PIRIE ST (1385); it's a U Shape type,138.6008893,-34.92583494
Bike Rack,Bike Rack on PIRIE ST (1385); it's a U Shape type,138.6008762,-34.92583603
Bike Rack,Bike Rack on WAYMOUTH ST (1494); it's a U Shape type,138.5985757,-34.92590016
Bike Rack,Bike Rack on WAYMOUTH ST (1494); it's a U Shape type,138.5986444,-34.92589883
Bike Rack,Bike Rack on WAYMOUTH ST (1494); it's a U Shape type,138.5990993,-34.92587687
Bike Rack,Bike Rack on WAYMOUTH ST (1494); it's a U Shape type,138.5992401,-34.92586754
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5980946,-34.92715573
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5954228,-34.92766204
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5954584,-34.92793733
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5953156,-34.9285779
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5941103,-34.92756057
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5929868,-34.92762356
Bike Rack,Bike Rack on FREEMASONS LN (1858); it's a U Shape type,138.6029974,-34.92626377
Bike Rack,Bike Rack on FLINDERS ST (1225); it's a U Shape type,138.6032897,-34.92688307
Bike Rack,Bike Rack on FLINDERS ST (1225); it's a Steel Rail type,138.6046331,-34.92702035
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a Steel Rail type,138.6042299,-34.92827972
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.602882,-34.92835692
Bike Rack,Bike Rack on STURT_ST (2078); it's a Circular type,138.5922051,-34.93342504
Bike Rack,Bike Rack on STURT_ST (2078); it's a U Shape type,138.5923925,-34.93341664
Bike Rack,Bike Rack on GILBERT ST (1241); it's a Circular type,138.5991925,-34.93443021
Bike Rack,Bike Rack on HARRIETT ST (1269); it's a U Shape type,138.6077014,-34.9338551
Bike Rack,Bike Rack on HALIFAX ST (1263); it's a Steel Slot type,138.6109008,-34.93247576
Bike Rack,Bike Rack on HALIFAX ST (1263); it's a Steel Rail type,138.6048762,-34.93256122
Bike Rack,Bike Rack on CATHERINE HELEN SPENCE ST (1715); it's a U Shape type,138.6030947,-34.93301403
Bike Rack,Bike Rack on STURT ST (1452); it's a Steel Rail type,138.5988784,-34.93285917
Bike Rack,Bike Rack on STURT ST (1452); it's a U Shape type,138.5962743,-34.93301914
Bike Rack,Bike Rack on WRIGHT_ST (2088); it's a Circular type,138.5910067,-34.93204412
Bike Rack,Bike Rack on CARRINGTON ST (1160); it's a U Shape type,138.6019143,-34.9313658
Bike Rack,Bike Rack on CARRINGTON ST (1160); it's a Steel Rail type,138.6048007,-34.93121313
Bike Rack,Bike Rack on ANGAS ST (1112); it's a U Shape type,138.6082655,-34.92979881
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5957956,-34.93026586
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5960633,-34.93023449
Bike Rack,Bike Rack on GOUGER ST (1250); it's a Steel Rail type,138.5968353,-34.93019693
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5970458,-34.9303399
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5973206,-34.93015574
Bike Rack,Bike Rack on GOUGER ST (1250); it's a Steel Rail type,138.5979854,-34.93031357
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5978807,-34.93012371
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5990922,-34.93025239
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5983838,-34.92857211
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5974896,-34.92889367
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5962706,-34.9289509
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5960308,-34.92896173
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5959089,-34.92898011
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5957853,-34.92898203
